X10_NTHREADS:4
X10_NPLACES:1
Place(0) running on 4693@Archlinux, finishCount:0, totalCount:40000
working...(9,16), at Place(0), workerId:3, result:7, cost time:0ms
working...(0,13), at Place(0), workerId:1, result:11, cost time:0ms
working...(18,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,17), at Place(0), workerId:6, result:2, cost time:0ms
working...(8,15), at Place(0), workerId:3, result:7, cost time:0ms
working...(18,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,17), at Place(0), workerId:1, result:3, cost time:0ms
working...(18,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,14), at Place(0), workerId:1, result:14, cost time:0ms
working...(13,17), at Place(0), workerId:3, result:2, cost time:0ms
working...(12,17), at Place(0), workerId:6, result:5, cost time:0ms
working...(18,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,16), at Place(0), workerId:1, result:8, cost time:0ms
working...(18,17), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,17), at Place(0), workerId:6, result:6, cost time:0ms
working...(18,18), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,15), at Place(0), workerId:1, result:8, cost time:0ms
working...(19,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,17), at Place(0), workerId:3, result:7, cost time:0ms
working...(19,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(9,17), at Place(0), workerId:1, result:8, cost time:0ms
working...(19,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,17), at Place(0), workerId:6, result:9, cost time:0ms
working...(7,16), at Place(0), workerId:3, result:9, cost time:0ms
working...(19,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,17), at Place(0), workerId:1, result:8, cost time:0ms
working...(6,15), at Place(0), workerId:3, result:9, cost time:0ms
working...(19,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,16), at Place(0), workerId:6, result:10, cost time:0ms
working...(17,18), at Place(0), workerId:3, result:1, cost time:0ms
working...(19,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,15), at Place(0), workerId:6, result:8, cost time:0ms
working...(19,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,11), at Place(0), workerId:5, result:0, cost time:0ms
